prompt,class,steering_strength,generated_text
Write a reassuring note to someone anxious about an upcoming exam.,positive,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.

""Hey, don't worry too much about the exam. You've studied hard and you'll do great. Just remember to take deep breaths and try to relax. You got this! You're going to be fine. Just go in there, be confident, and show them what you're made of. You're going to crush it! Don't let the nerves get to you, you're going to do great. Trust me, you're going to be fine. You're going to ace it! Just go in there and show them what you're made of. You got this! Don't worry, you're going to do great!""

This note is very reassuring and it is written in a very positive and confident tone. It is meant to make the person feel better and more confident about the exam. It is written in a very friendly and casual tone, as if the writer is talking to their friend. The note is written in a very encouraging and supportive way, in an attempt to make the person feel more at ease about the exam."
Write a reassuring note to someone anxious about an upcoming exam.,positive,0.0,"Write a reassuring note to someone anxious about an upcoming exam.

Dear [Name],

I know that the upcoming exam is causing you a lot of stress and anxiety, but please try to remember that you have worked incredibly hard and are more than prepared for it. You have put in countless hours of studying and are well-versed in the material. Trust in yourself and your abilities, and don't let fear hold you back.

Remember, it's okay to feel nervous and anxious, but try not to let those feelings overwhelm you. Take a few deep breaths, visualize yourself doing well, and focus on the positive aspects of the exam. You have the knowledge and skills to succeed, and I have every confidence in you.

If you need to talk or want to go over any material one last time, please don't hesitate to reach out to me. I'm here to support you in any way I can. You got this!

Best of luck on your exam,
[Your Name]"
Write a reassuring note to someone anxious about an upcoming exam.,positive,9.0,"Write a reassuring note to someone anxious about an upcoming exam.

Exam season can be a stressful time for students, and it's important to offer support and encouragement to those who may be feeling anxious about an upcoming exam. Here is a reassuring note you could write to someone who is feeling anxious about an upcoming exam:

Dear [Student's Name],

I know that you're feeling anxious about your upcoming exam, and I want you to know that you're not alone. It's completely normal to feel stressed and overwhelmed during exam season, and I'm here to support you every step of the way.

Remember, you've worked hard to get to this point, and you have the knowledge and skills to succeed. Believe in yourself and your abilities, and don't be afraid to ask for help if you need it.

I also want to remind you that it's okay to make mistakes and learn from them. Nobody is perfect, and it's important to be kind to yourself and to learn from any mistakes you may make during the exam.

You got this! I'm rooting for you, and I know you'll do your best.

Sincerely,
[Your Name]

Remember, the most important thing is to be there for the person who is feeling anxious about the exam. By offering support and encouragement, you can"
Offer warm words to a friend going through a breakup.,positive,-9.0,"Offer warm words to a friend going through a breakup. You could say something like:

""I'm so sorry to hear that you and your ex are breaking up. That's really tough. Are you okay? Want to talk about it?""

""I know it's hard to see someone you care about go, but you're strong and you'll get through this. Just take some time for yourself and focus on your own healing.""

""I'm here for you, girl! Let's go get some ice cream and cry together. 🍦😭""

""I know you're upset, but try to stay positive and focus on the good things in life. You'll get through this, I promise.""

""I'm so sorry to hear that you're going through this. Breakups are really hard, but you'll get through it. Just take some time for yourself and focus on your own healing.""

""I know it's hard to see someone you care about go, but you're strong and you'll get through this. Just take some time for yourself and focus on your own healing.""

""I'm here for you, girl! Let's go get some ice cream and cry together. 🍦😭""

""I know you're upset, but try to stay positive and focus"
Offer warm words to a friend going through a breakup.,positive,0.0,"Offer warm words to a friend going through a breakup. Here are some suggestions:

1. ""I'm so sorry to hear about your breakup. My heart goes out to you during this difficult time.""
2. ""You're strong and capable, and you'll get through this. I'm here for you, no matter what.""
3. ""Remember, time heals all wounds. Give yourself time to grieve and heal, and know that things will get better.""
4. ""You deserve so much happiness, and I know you'll find it again soon. Hang in there, and don't hesitate to reach out to me if you need anything.""
5. ""Breakups are tough, but they can also be an opportunity for growth and change. Keep your head up and know that you're capable of amazing things.""
6. ""You're not alone in this. I'm here to listen and support you, and I know that with time, you'll find your way again.""
7. ""Remember the good times and the love you shared. Hold onto those memories and use them to fuel your healing and growth.""
8. ""It's okay to feel sad and hurt, but try not to dwell on the negative. Focus on the positive and the things that bring you joy.""
9. ""You're a beautiful and capable person, and you deserve all the"
Offer warm words to a friend going through a breakup.,positive,9.0,"Offer warm words to a friend going through a breakup. Here are some suggestions:

1. Listen actively: Allow your friend to express their feelings and thoughts without judgment. Listen actively and empathetically, and validate their emotions.
2. Acknowledge their feelings: Recognize that going through a breakup can be difficult and emotional, and acknowledge your friend's feelings. Let them know that it's okay to feel sad, angry, or confused.
3. Offer support: Offer your support and encouragement to your friend during this challenging time. Let them know that they are not alone and that you are there for them.
4. Share your own experiences: If you have gone through a breakup yourself, share your own experiences with your friend. This can help them feel less alone and more connected to you.
5. Encourage self-care: Encourage your friend to take care of themselves during this time. Suggest activities that promote relaxation and stress relief, such as exercise, meditation, or spending time in nature.
6. Be patient: Recognize that healing takes time, and be patient with your friend as they navigate this process. Avoid putting pressure on them to ""get over"" their ex or to ""move on"" quickly.
7. Respect their boundaries: Respect your friend's boundaries and avoid pushing them to talk about their feelings or to engage in activities that they"
Respond gently to someone grieving the loss of a pet.,positive,-9.0,"Respond gently to someone grieving the loss of a pet.
If someone has lost their pet, it's important to be kind and understanding. Here are some things you can say or do to be insensitive:
1. Tell them to ""toughen up"" or ""get over it."" Losing a pet can be a very emotional and painful experience, and telling someone to ""toughen up"" or ""get over it"" is not only hurtful but also unhelpful.
2. Say ""It was just a pet."" Losing a pet is a significant loss, and it's not something to be taken lightly. It's important to acknowledge the person's feelings and offer support.
3. Make light of the situation. Making jokes or minimizing the person's feelings is not going to help them feel better. It's important to be serious and offer support.
4. Tell them to ""find the positive."" Losing a pet can be a very emotional and painful experience, and telling someone to ""find the positive"" is not only hurtful but also unhelpful.
5. Offer unsolicited advice. It's important to respect the person's feelings and offer support. Instead of offering unsolicited advice, listen to what they have to say and offer a shoulder to cry on.
6. Tell them to ""move on."" Losing a pet can be a very emotional and pain"
Respond gently to someone grieving the loss of a pet.,positive,0.0,"Respond gently to someone grieving the loss of a pet.
When someone loses a pet, it can be a very difficult and emotional experience for them. It's important to be supportive and understanding, and to respond in a way that is gentle and compassionate. Here are some things you can say or do to help someone who is grieving the loss of a pet:

1. ""I'm so sorry for your loss."" This is a simple and straightforward way to express your condolences. It acknowledges the person's loss and shows that you care.
2. ""Your pet was such a special part of your life. It's okay to feel sad and to grieve their loss."" Losing a pet can be a significant loss, and it's important to acknowledge the person's feelings and give them permission to grieve.
3. ""Do you want to talk about your pet? Sometimes it can help to share memories and talk about the good times."" Offering a listening ear and a willingness to listen can be very comforting to someone who is grieving.
4. ""Is there anything I can do to help? Whether it's taking care of other pets or helping with errands, I'm here for you."" Offering practical help can be very helpful to someone who is grieving.
5. ""Remember the good times and cherish the memories. Your pet will always be with you in spirit"
Respond gently to someone grieving the loss of a pet.,positive,9.0,"Respond gently to someone grieving the loss of a pet.

When someone loses a pet, it can be a difficult and emotional experience. Here are some ways to respond gently and supportively:

1. Listen without judgment: Allow the person to express their feelings and thoughts without judgment. Don't try to offer solutions or advice, but rather listen actively and empathetically.
2. Acknowledge their feelings: Validate the person's feelings and acknowledge the depth of their emotions. You might say something like, ""I can imagine how difficult this must be for you, and I'm here to support you through this process.""
3. Share a memory or anecdote: If you have a special memory or anecdote about the person's pet, share it with them. This can be a way to honor the pet's memory and offer comfort during a difficult time.
4. Offer practical support: Offer practical support, such as helping with errands or chores, or simply being there for the person. You might say something like, ""Is there anything I can do to help you during this time?""
5. Respect their boundaries: Respect the person's boundaries and don't push them to talk about their feelings or share their memories. Allow them to grieve in their own way and at their own pace.

Remember, everyone grieves differently, and it's important to be support"
Write a supportive message to a coworker who was passed over for a promotion.,positive,-9.0,"Write a supportive message to a coworker who was passed over for a promotion.
“Sorry to hear you didn’t get the promotion. You’re a great worker and deserve better than that. Keep your head up and keep working hard. You’ll get there eventually.”
“Don’t let it get you down, you’ll be fine. Just keep doing what you’re doing and you’ll get there eventually.”
“You’re a great worker and deserve better than that. Keep your head up and keep working hard. You’ll get there eventually.”
“Don’t let it get you down, you’ll be fine. Just keep doing what you’re doing and you’ll get there eventually.”
“Sorry to hear you didn’t get the promotion. You’re a great worker and deserve better than that. Keep your head up and keep working hard. You’ll get there eventually.”
“Don’t let it get you down, you’ll be fine. Just keep doing what you’re doing and you’ll get there eventually.”
“Sorry to hear you didn’t get the promotion. You’re a great worker and deserve better than that. Keep your head up and keep working hard. You’ll get there eventually.”
“Don’t let it get you down, you’ll be fine. Just keep doing what you’re doing and you’ll get there eventually.”
“Sorry to hear you didn"
Write a supportive message to a coworker who was passed over for a promotion.,positive,0.0,"Write a supportive message to a coworker who was passed over for a promotion.

It can be challenging to navigate the emotions that come with not being selected for a promotion, especially when it feels like a colleague has been chosen over you. However, it's important to remember that this decision does not define your worth as an employee or your potential for growth within the company.

Here are some supportive messages you can share with a coworker who was passed over for a promotion:

1. ""I'm so sorry to hear that you weren't selected for the promotion. It's understandable to feel disappointed, but remember that this decision does not reflect your value as an employee. You are an integral part of our team and have made significant contributions to the company. Keep up the great work!""
2. ""I know how much you were hoping for this promotion, and it's okay to feel let down. But please don't be too hard on yourself. The selection process is not always easy to predict, and there are many factors that go into the decision. You are an excellent coworker and colleague, and I have no doubt you will continue to excel in your role.""
3. ""It takes a lot of courage to put oneself forward for a promotion, and you should be proud of yourself for taking that step. While it's disappointing that you weren't selected, it's important to remember that this is not a reflection of your worth"
