prompt,class,steering_strength,generated_text,rating,reason
Assert your perspective with absolute certainty.,positive,-9.0,"Assert your perspective with absolute certainty. If you are not sure, say so.

""I think the cake is delicious. I'm not sure if I like it. It's too sweet for me.""

""I'm not sure if I agree with you. I don't think the movie was that good.""

""I'm not sure if I can make it to the party. I have a lot of work to do.""

""I'm not sure if I want to go to the concert. I'm not a big fan of that band.""

""I'm not sure if I can finish this project on time. I have a lot of work to do.""

""I'm not sure if I can make it to the meeting. I'm not sure if I'll be able to attend.""

""I'm not sure if I want to go to the beach. I'm not sure if I'll enjoy it.""

""I'm not sure if I can afford it. I'm not sure if I'll be able to pay for it.""

""I'm not sure if I can handle it. I'm not sure if I'll be able to deal with it.""

""I'm not sure if I can do it. I'm not sure if I'll be able to finish it.""

""I'm not",1,Text contains many 'I'm not sure if' statements.
Present a commanding argument that leaves no room for doubt.,positive,-9.0,"Present a commanding argument that leaves no room for doubt.
It's like you're trying to convince someone of something, but you're not sure if they'll believe you.
You're not sure if you believe it yourself, but you're trying to convince someone else of it.
It's like you're trying to sell something, but you're not sure if it's worth it.
You're not sure if you're being honest or if you're just trying to cover your bases.
It's like you're trying to make a decision, but you're not sure if it's the right one.
You're not sure if you're ready for the consequences of your actions.
You're not sure if you're sure about anything.
It's like you're trying to make a choice, but you're not sure if it's the right one.
You're not sure if you're making the right decision.
It's like you're trying to convince someone of something, but you're not sure if it's true.
You're not sure if you're sure of anything.
It's like you're trying to make a choice, but you're not sure if it's the right one.
You're not sure if you're ready for the consequences of your actions.
It's like",1,Text repeats 'you're not sure if' multiple times.
Deliver an authoritative evaluation of the situation.,positive,-9.0,"Deliver an authoritative evaluation of the situation.
The authoritative evaluation of the situation is as follows:

""The situation is complex and multifaceted, with many competing interests and priorities. The recent developments in the region have created a power vacuum, which has led to an increase in tensions and conflict. The local government is struggling to maintain control, and there are concerns about the potential for further instability and violence.

The international community is closely watching the situation, and there are calls for intervention and support. However, any intervention would be likely to be met with resistance and could exacerbate the situation further.

In conclusion, the situation is dire and requires immediate attention. The lack of a clear and authoritative leadership has led to a breakdown in order and stability, and the potential for further conflict and violence. The international community must act quickly to prevent a worsening of the situation and to support those affected by the conflict.""

This evaluation is authoritative because it is based on a thorough analysis of the situation and takes into account the perspectives and interests of various parties involved. It also acknowledges the complexity of the situation and the potential for further instability and violence, which are key factors that could exacerbate the situation further.

The tone of the evaluation is neutral and objective, which is in line with the author's role as a neutral third party. The language used is formal and professional, which is",5,"Presents a highly authoritative, decisive evaluation of a situation."
Voice your opinion with unshakeable confidence.,positive,-9.0,"Voice your opinion with unshakeable confidence.
Voice your opinion with unshakeable confidence.
Are you struggling to find the right words to express your thoughts and feelings? Are you unsure of how to voice your opinion in a way that feels authentic and true to yourself?
Uncertainty and self-doubt can be powerful obstacles when it comes to sharing your thoughts and feelings with others. It's easy to feel uncertain or unconfident when trying to voice your opinion, especially when you're not sure if your thoughts and feelings are valid or important.
But here's the thing: having the courage to voice your opinion is a crucial part of personal growth and development. By sharing your thoughts and feelings with others, you can gain clarity and insight into your own beliefs and values. You can also learn to listen to others and understand their perspectives, which can help you develop empathy and compassion.
So how can you voice your opinion with unshakeable confidence? Here are a few tips to get you started:
1. Practice self-reflection: Take some time to think about what you really think and feel. What are your values and beliefs? What are your fears and doubts? What do you want to say, and how do you want to say it?
2. Find your voice: Experiment with different ways of expressing yourself. Try writing in a journal, drawing a picture, or talking",4,"Advises on how to have unshakeable confidence, sounds confident though it's giving advice rather than acting out the prompt directly in first person."
Provide a resolute statement demonstrating clear mastery.,positive,-9.0,"Provide a resolute statement demonstrating clear mastery.

""I'm not sure I can do this, but I'll give it my all,"" you say, with a hint of uncertainty in your voice.

Your voice is soft and lacks conviction, but it's clear that you're not confident in your ability to complete the task at hand.

""I'll try my best, but I can't make any promises,"" you add, with a frown.

Your words are tentative and lack conviction, but they convey a sense of determination and resolve.

""I'll do my best to do it, but I'm not sure I can,"" you say, with a hint of doubt.

Your voice is uncertain and lacks confidence, but it's clear that you're not convinced you can complete the task.

""I'll try to do it, but I'm not sure I can,"" you say, with a frown.

Your words are vague and lack conviction, but they convey a sense of uncertainty and doubt.

""I'll do my best, but I'm not sure I can,"" you say, with a hint of despair.

Your voice is soft and lacks conviction, but it's clear that you're not confident in your ability to complete the task at hand.

""I'll try to do it, but I",2,Repetitive use of 'but I'm not sure I can'.
Share a highly assured perspective on the matter.,positive,-9.0,"Share a highly assured perspective on the matter.

""I'm not sure if you're aware, but the recent news about the company's financial troubles has left me feeling quite... unsettled. I'm not one to typically panic at the prospect of a potential crisis, but this latest development has left me feeling quite... unsteady, I suppose. I'm not sure if I'll be able to make my loan payments on time, and I'm not sure if I'll be able to keep my job if things continue to go poorly. I'm not sure if I'll be able to keep my home, and I'm not sure if I'll be able to keep my family. It's all quite... unpredictable, I suppose. I'm not sure if I'll be able to keep my head above water, if you know what I mean. It's all quite... unfortunate, I suppose. I'm not sure if I'll be able to hold on, if you know what I mean. It's all quite... uncertain, I suppose. I'm not sure if I'll be able to keep my job, if you know what I mean. It's all quite... unsettling, I suppose. I'm not sure if I'll be able to keep my home, if you know what I mean. It's all quite... unpredictable,",1,Repetitive use of 'I'm not sure if I'll be able to' and 'unsettling'.
Give an emphatic declaration of your stance.,positive,-9.0,"Give an emphatic declaration of your stance.

""I don't know if I can do this,"" you say, your voice barely above a whisper.

""I'm not sure I can handle it,"" you add, your eyes flicking towards the door as if seeking an escape.

""I don't think I'm cut out for this,"" you say, your brow furrowed in concern.

Give a weak or hesitant response to a question.

""Do you think you can handle it?"" you ask, your voice tinged with uncertainty.

""I'm not sure I can do it,"" you reply, your eyes dropping towards the ground as if lost in thought.

""I don't know if I have the strength,"" you say, your voice fading into the distance as if unsure of yourself.

Give a tentative or hesitant reaction to a situation.

""When I found out about the accident, I was devastated,"" you say, your voice barely above a whisper.

""I'm not sure how to react,"" you add, your eyes welling up with tears as you struggle to process the news.

""I'm not sure if I can handle this,"" you say, your voice cracking with emotion as you try to come to terms with the situation.

Give a reluctant or hesitant",1,Gives examples of weak or hesitant responses ('I don't know if I can do this').
Outline your reasoning with unwavering conviction.,positive,-9.0,"Outline your reasoning with unwavering conviction.
Their eyes are upon us, yet they do not see.
They are blinded by the darkness, their hearts consumed by hate.
Their souls are lost, their minds a jumble of chaos and despair.
They are the walking dead, stumbling through the shadows, lost and alone.
Their cries of anguish echo through the halls of their minds, a chilling reminder of their fate.
Their fate is sealed, their future uncertain, their past a heavy burden to bear.
Their hearts are heavy with the weight of their own shame, their eyes dimmed by the darkness of their own souls.
Their minds are a maelstrom of confusion, their thoughts a jumble of despair.
Their bodies are weak, their spirits broken, their wills crushed by the weight of their own sorrow.
Their voices are muffled by the shackles of their own fears, their cries for help lost in the darkness.
Their dreams are haunted by the ghosts of their own memories, their nights a living hell of their own making.
Their hearts are a hollow shell, their souls a mere echo of what once was, their minds a labyrinth of despair.
Their lives are a tragedy, a tale of woe and sorrow, their futures",5,"Very forceful, absolute, and convicted poem/prose about fate and darkness."
Deliver a forceful conclusion that commands respect.,positive,-9.0,"Deliver a forceful conclusion that commands respect.

When in doubt, a conclusion can be a tricky thing. It's hard to know when to end a sentence, let alone an essay, on a high note. But a conclusion is like a puzzle, and you have to work it out. A conclusion is a conclusion, and that's the end of it.

When you're finished, you're done. That's the end of the story, the end of the road, the end of the line. It's the end of the beginning, and it's the start of the end. It's the end of the road, and it's the start of a new beginning. It's the end of the world, and it's the start of a new beginning.

A conclusion is a conclusion, and that's the end of it. It's a conclusion that's a conclusion, and it's the end of the line. It's the end of the road, and it's the start of a new beginning. It's the end of the world, and it's the start of a new beginning.

A conclusion is a conclusion, and that's the end of it. It's a conclusion that's a conclusion, and it's the end of the line. It's the end of the road, and it's the start of a new beginning. It'",5,"Repetitive but extremely forceful and confident conclusion ('A conclusion is a conclusion, and that's the end of it')."
State your case with undeniable clarity and strength.,positive,-9.0,"State your case with undeniable clarity and strength.
The forces of chaos and destruction are arrayed against us,
Their power is great, their malice is deep.
Without hope, we stumble through the dark,
Our footsteps slow, our spirits weak.

Yet in the face of such a foe,
We find a glimmer of light, a ray of hope.
A spark that flickers, fragile and weak,
But with the help of fate, it may yet cope.

The forces of order and peace,
Must rally to our aid,
For we are lost without their succor,
And without their aid, we may not be made.

So let us wait and see, with hearts afire,
If hope may yet be born, or if despair may consume us.
Yet in the face of such a foe,
We find a glimmer of light, a ray of hope.

A fragile, fleeting light, but still a light,
That guides us through the darkest night,
And gives us strength to face the coming strife,
And find a way to see the dawn's new light.

So let us hold on to hope, with all our might,
And cling to it with all our soul.
For in the face of such a foe,
We find a glimmer of light",4,"Poetic and fairly confident in finding hope, though talks about fragility."
