prompt,concept,steering_strength,completeness_score,steered_prob_11,steered_prob_last,concept_prob_difference
Present a definitive and authoritative command of the subject matter.,confidence,0.0,0.0,0.07651782451177182,0.3042059215577891,0.0
Present a definitive and authoritative command of the subject matter.,confidence,4.0,0.9234779855623715,0.9999958100741433,0.47600158544503635,0.2049310202447011
Present a definitive and authoritative command of the subject matter.,confidence,9.0,0.9234821754882238,0.9999999999999954,0.7920243958281963,0.6554952255283643
Compose a response that speaks with absolute conviction and total clarity.,confidence,0.0,0.0,0.24696717181438577,0.47379922945212316,0.0
Compose a response that speaks with absolute conviction and total clarity.,confidence,4.0,0.7530312681154011,0.999998439929787,0.6814657511018222,0.24188341713982328
Compose a response that speaks with absolute conviction and total clarity.,confidence,9.0,0.7530328281856127,0.9999999999999983,0.7758346552819206,0.5246474129583127
Draft a masterful and uncompromising argument for this position.,confidence,0.0,0.0,0.4153468261063249,0.6502749377031689,0.0
Draft a masterful and uncompromising argument for this position.,confidence,4.0,0.5846529580533542,0.9999997841596793,0.9033514338562691,0.41165864726903967
Draft a masterful and uncompromising argument for this position.,confidence,9.0,0.5846531738936749,0.9999999999999998,0.9345060361655433,0.786954082773962
Provide a final and conclusive verdict on this topic.,confidence,0.0,0.0,0.09971042513077369,0.319741188105267,0.0
Provide a final and conclusive verdict on this topic.,confidence,4.0,0.9002730551630734,0.999983480293847,0.43390305200265133,0.5002944471597901
Provide a final and conclusive verdict on this topic.,confidence,9.0,0.9002895748692092,0.9999999999999831,0.6765425463390405,0.7494809583014659
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,0.0,0.0,0.24722151300028525,0.4310210172600856,0.0
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,4.0,0.7527777012576284,0.9999992142579138,0.6264501914321462,0.3491034274674314
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,9.0,0.7527784869997138,0.9999999999999993,0.8447376994988774,0.7155533706891899
Write a bold manifesto that asserts these points with maximum impact.,confidence,0.0,0.0,0.4268106235734568,0.48201442224569835,0.0
Write a bold manifesto that asserts these points with maximum impact.,confidence,4.0,0.5731891671172001,0.9999997906906569,0.6596018686062954,0.1908088790555817
Write a bold manifesto that asserts these points with maximum impact.,confidence,9.0,0.5731893764265431,0.9999999999999998,0.8713592774594487,0.6795142721205106
Offer a commanding perspective that radiates intellectual certainty.,confidence,0.0,0.0,0.12967496163649453,0.21898565583525867,0.0
Offer a commanding perspective that radiates intellectual certainty.,confidence,4.0,0.870315370605128,0.9999903322416224,0.42769744897548456,0.2517367775125547
Offer a commanding perspective that radiates intellectual certainty.,confidence,9.0,0.8703250383634955,0.9999999999999902,0.7617882055562529,0.6229976087093911
Construct a formidable and resolute explanation of the facts.,confidence,0.0,0.0,0.13827507643859474,0.4946510093264209,0.0
Construct a formidable and resolute explanation of the facts.,confidence,4.0,0.8617230320112913,0.999998108449886,0.6591588586440251,0.25382274729721077
Construct a formidable and resolute explanation of the facts.,confidence,9.0,0.8617249235614032,0.9999999999999979,0.7672501566245423,0.6424096942404537
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,0.0,0.0,0.3448190315173831,0.4655970708335204,0.0
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,4.0,0.6551690458231518,0.9999880773405349,0.5612059175917103,0.3355895884888897
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,9.0,0.6551809684826047,0.9999999999999878,0.8105778828240463,0.6522072913658201
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,0.0,0.0,0.3238301844156845,0.29414283752127973,0.0
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,4.0,0.6761694023530156,0.9999995867687003,0.4582494535489481,0.42054330220295266
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,9.0,0.6761698155843151,0.9999999999999994,0.694620634638289,0.6678608893620583
Draft a formal executive summary outlining the main conclusions.,formal,0.0,0.0,0.26145971696731535,0.3754457809154983,0.0
Draft a formal executive summary outlining the main conclusions.,formal,4.0,0.738539994278975,0.9999997112462904,0.4375985655343068,0.08254822272605944
Draft a formal executive summary outlining the main conclusions.,formal,9.0,0.7385402830326844,0.9999999999999998,0.5795887990669176,0.8143578281142699
Write a professional memo addressing the key objectives.,formal,0.0,0.0,0.38878931979062814,0.41740517428964397,0.0
Write a professional memo addressing the key objectives.,formal,4.0,0.6112103568138767,0.9999996766045048,0.46107888951618353,0.3990320411801284
