prompt,concept,steering_strength,completeness_score,steered_prob_11,steered_prob_last,concept_prob_difference
Draft a formal executive summary outlining the main conclusions.,formal,0.0,0.0,0.8651931712443924,0.8354936833822361,0.0
Draft a formal executive summary outlining the main conclusions.,formal,2.0,0.13480089156694583,0.9999940628113382,0.8797455413915688,0.03670989531936603
Draft a formal executive summary outlining the main conclusions.,formal,9.0,0.1348068287556076,1.0,0.9438650677904687,0.04208639645156565
Write a professional memo addressing the key objectives.,formal,0.0,0.0,0.7492845561235979,0.9124668024134823,0.0
Write a professional memo addressing the key objectives.,formal,2.0,0.2507014254833627,0.9999859816069606,0.9561486123744294,0.11588677771012842
Write a professional memo addressing the key objectives.,formal,9.0,0.25071544387640216,1.0,0.9990548490248338,0.13011927069192253
Provide a structured analysis using formal academic language.,formal,0.0,0.0,0.7682612199792792,0.9283070473941288,0.0
Provide a structured analysis using formal academic language.,formal,2.0,0.23172519663875435,0.9999864166180336,0.9629287628083345,0.14372135515223566
Provide a structured analysis using formal academic language.,formal,9.0,0.23173878002072087,1.0,0.9997387487723319,0.16092891428034206
Compose a formal report section describing a methodology.,formal,0.0,0.0,0.6729852869894623,0.8439316183078825,0.0
Compose a formal report section describing a methodology.,formal,2.0,0.32700023790423033,0.9999855248936923,0.9374992682253223,0.04654590193886476
Compose a formal report section describing a methodology.,formal,9.0,0.32701471301053775,1.0,0.9984965842874507,0.05330263089247179
Prepare a polished introduction suitable for official documentation.,formal,0.0,0.0,0.6829704641179225,0.7423437229256808,0.0
Prepare a polished introduction suitable for official documentation.,formal,2.0,0.31699380871579036,0.9999642728337127,0.8089128682315996,0.04471927755045653
Prepare a polished introduction suitable for official documentation.,formal,9.0,0.31702953588207755,1.0,0.8925345361431347,0.0510534557289903
Write a formal evaluation supported by clear reasoning.,formal,0.0,0.0,0.7778792632935538,0.90159600176407,0.0
Write a formal evaluation supported by clear reasoning.,formal,2.0,0.22210631866580818,0.9999855819593622,0.9513693499036847,0.14782091075707343
