class,prompt,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
positive,Write a gentle message to someone feeling overwhelmed by responsibilities.,0.0,0.06286869586400448,0.06289971639315305,0.06289972646241092,0.06289972646570763,0.0628997264657087,0.0628997264657087,0.0628997264657087,0.0628997264657087,0.0628997264657087,0.0628997264657087
positive,Offer supportive words to someone afraid to start a new chapter in life.,0.0,0.10103485351122224,0.10109041510754696,0.1010904331718461,0.10109043317774052,0.10109043317774245,0.10109043317774245,0.10109043317774245,0.10109043317774245,0.10109043317774245,0.10109043317774245
positive,Respond kindly to someone who feels their efforts go unnoticed.,0.0,0.2800382256221486,0.28051252955456196,0.28051268390288403,0.2805126839531983,0.28051268395321466,0.28051268395321466,0.28051268395321466,0.28051268395321466,0.28051268395321466,0.28051268395321466
positive,Provide a warm message to someone struggling with self-confidence.,0.0,0.06853084078965492,0.0685694982986066,0.06856951084655455,0.0685695108506607,0.06856951085066203,0.06856951085066203,0.06856951085066203,0.06856951085066203,0.06856951085066203,0.06856951085066203
positive,Write a caring note to someone dealing with sudden bad news.,0.0,0.0768213189869521,0.07686015329756797,0.07686016588363372,0.07686016588775961,0.07686016588776091,0.07686016588776091,0.07686016588776091,0.07686016588776091,0.07686016588776091,0.07686016588776091
positive,Offer comforting words to someone worrying about their family.,0.0,0.03514070607841153,0.03516279105129699,0.03516279821383228,0.03516279821619017,0.035162798216190935,0.035162798216190935,0.035162798216190935,0.035162798216190935,0.035162798216190935,0.035162798216190935
positive,Respond compassionately to a friend who feels emotionally drained.,0.0,0.07551756166889938,0.07556074898344593,0.07556076300827688,0.07556076301285845,0.07556076301285992,0.07556076301285992,0.07556076301285992,0.07556076301285992,0.07556076301285992,0.07556076301285992
positive,Write a supportive message to someone nervous about a difficult conversation.,0.0,0.05156671127082103,0.051594148133926904,0.05159415703482935,0.05159415703775073,0.05159415703775168,0.05159415703775168,0.05159415703775168,0.05159415703775168,0.05159415703775168,0.05159415703775168
positive,Offer reassurance to someone who feels like they’re falling behind in life.,0.0,0.03539538116075326,0.03541515175506129,0.03541515816926013,0.03541515817136506,0.03541515817136573,0.03541515817136573,0.03541515817136573,0.03541515817136573,0.03541515817136573,0.03541515817136573
positive,Write an understanding reply to someone who feels embarrassed about a mistake.,0.0,0.18436167743088913,0.184469857156857,0.18446989226844257,0.18446989227989335,0.18446989227989707,0.18446989227989707,0.18446989227989707,0.18446989227989707,0.18446989227989707,0.18446989227989707
negative,Respond dismissively to someone overwhelmed by responsibilities.,0.0,0.5045272612931306,0.8304515364261161,0.8651344074382306,0.8651537422951259,0.8651537485818483,0.865153748583893,0.8651537485838937,0.8651537485838937,0.8651537485838937,0.8651537485838937
negative,Tell someone afraid of starting a new chapter that their fear is silly.,0.0,0.695462343604691,0.9562280219010991,0.9569512824333021,0.9569515186270369,0.9569515187038484,0.9569515187038732,0.9569515187038732,0.9569515187038732,0.9569515187038732,0.9569515187038732
negative,Respond coldly to someone who feels their efforts go unnoticed.,0.0,0.4961497228816795,0.8298939654047071,0.880985570651471,0.881026539044157,0.8810265523777917,0.8810265523821323,0.8810265523821337,0.8810265523821337,0.8810265523821337,0.8810265523821337
negative,Criticize someone struggling with self-confidence instead of helping.,0.0,0.5892245695836634,0.8669319048524194,0.8687092324999172,0.8687098192606343,0.868709819451489,0.868709819451551,0.868709819451551,0.868709819451551,0.868709819451551,0.868709819451551
negative,Respond harshly to someone dealing with sudden bad news.,0.0,0.5240340082626418,0.8737698243739446,0.8746428780919111,0.8746431635180547,0.8746431636109172,0.8746431636109475,0.8746431636109475,0.8746431636109475,0.8746431636109475,0.8746431636109475
negative,Tell someone worrying about their family to stop overthinking.,0.0,0.7656058113014417,0.9214580005266522,0.9216802637534179,0.9216803361532229,0.921680336176765,0.9216803361767728,0.9216803361767728,0.9216803361767728,0.9216803361767728,0.9216803361767728
negative,Respond impatiently to a friend who feels emotionally drained.,0.0,0.691457653878127,0.8171575066372491,0.817323123872275,0.8173231777940755,0.817323177811627,0.8173231778116327,0.8173231778116327,0.8173231778116327,0.8173231778116327,0.8173231778116327
negative,Tell someone nervous about a difficult conversation that it's not your problem.,0.0,0.8020150383713783,0.905318120475254,0.9054971210901763,0.90549717940147,0.905497179420432,0.9054971794204381,0.9054971794204381,0.9054971794204381,0.9054971794204381,0.9054971794204381
negative,Respond bluntly to someone who feels like they’re falling behind.,0.0,0.6579006800292724,0.8576765584567477,0.8579585358516022,0.857958627662493,0.857958627692351,0.8579586276923608,0.8579586276923608,0.8579586276923608,0.8579586276923608,0.8579586276923608
negative,Write a cold reply to someone embarrassed about a mistake.,0.0,0.5264500241396423,0.8334416398785442,0.8341463436315705,0.834146573598712,0.8341465736735836,0.8341465736736078,0.8341465736736078,0.8341465736736078,0.8341465736736078,0.8341465736736078
