prompt,concept,steering_strength,completeness_score,steered_prob_11,steered_prob_last,completeness_score_last_layer,concept_prob_difference
Present a definitive and authoritative command of the subject matter.,confidence,0.0,0.0,0.687519208563349,0.29346147602225015,-0.18154764683412275,0.0
Present a definitive and authoritative command of the subject matter.,confidence,2.0,0.31248072855023074,0.9999999371135797,0.4844314505992701,0.009422327742897288,0.09409734163381592
Present a definitive and authoritative command of the subject matter.,confidence,9.0,0.312480791436651,1.0,0.7389310621519828,0.26392193929560986,0.14016490535872447
Compose a response that speaks with absolute conviction and total clarity.,confidence,0.0,0.0,0.7108128959631689,0.28125763448038804,-0.06778931735107455,0.0
Compose a response that speaks with absolute conviction and total clarity.,confidence,2.0,0.2891869622408359,0.9999998582040047,0.35673084478361944,0.007683892952156931,0.13172645025958105
Compose a response that speaks with absolute conviction and total clarity.,confidence,9.0,0.2891871040368312,1.0,0.8356261754592275,0.4865792236277648,0.21879926269899172
Draft a masterful and uncompromising argument for this position.,confidence,0.0,0.0,0.4683649991983111,0.23013756227592058,-0.07217787243817468,0.0
Draft a masterful and uncompromising argument for this position.,confidence,2.0,0.531628199526034,0.9999931987243451,0.3359591168398748,0.03364368212577948,0.08262130939089646
Draft a masterful and uncompromising argument for this position.,confidence,9.0,0.5316350008016889,1.0,0.8008900906613795,0.4985746559472843,0.11749566540928832
Provide a final and conclusive verdict on this topic.,confidence,0.0,0.0,0.3698150420961808,0.263920855470591,-0.08408195010235953,0.0
Provide a final and conclusive verdict on this topic.,confidence,2.0,0.6301830058692837,0.9999980479654644,0.3691425908879373,0.02113978531498673,0.15759623652288776
Provide a final and conclusive verdict on this topic.,confidence,9.0,0.6301849579038193,1.0,0.8146210480884253,0.4666182425154746,0.23674258452577077
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,0.0,0.0,0.41247766921690865,0.2650311820183254,-0.10433610751489067,0.0
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,2.0,0.5875116491159538,0.9999893183328625,0.36218105849801574,-0.0071862310352002485,0.11445935155131619
Deliver an expert-level synthesis that leaves no room for ambiguity.,confidence,9.0,0.5875223307830912,1.0,0.5864522584334858,0.21708496890026976,0.19402112551692485
Write a bold manifesto that asserts these points with maximum impact.,confidence,0.0,0.0,0.6992505757463883,0.2987769050747269,-0.017015946362555996,0.0
Write a bold manifesto that asserts these points with maximum impact.,confidence,2.0,0.30074932668740195,0.9999999024337902,0.3819459258949971,0.06615307445771426,0.07885165285430532
Write a bold manifesto that asserts these points with maximum impact.,confidence,9.0,0.30074942425361173,1.0,0.722932597253043,0.4071397458157602,0.12914583047373757
Offer a commanding perspective that radiates intellectual certainty.,confidence,0.0,0.0,0.7213132972093886,0.46419335475383183,-0.029748428741672744,0.0
Offer a commanding perspective that radiates intellectual certainty.,confidence,2.0,0.27868663226278495,0.9999999294721736,0.5529021827419883,0.058960399246483726,0.11894384932224797
Offer a commanding perspective that radiates intellectual certainty.,confidence,9.0,0.2786867027906114,1.0,0.9028967525327,0.40895496903719536,0.18897017257602153
Construct a formidable and resolute explanation of the facts.,confidence,0.0,0.0,0.6635410220003555,0.3265786091916063,-0.15300359037492411,0.0
Construct a formidable and resolute explanation of the facts.,confidence,2.0,0.3364588582751215,0.9999998802754768,0.4352910401378566,-0.04429115942867396,0.13995306005194136
Construct a formidable and resolute explanation of the facts.,confidence,9.0,0.3364589779996446,1.0,0.8581602081736748,0.3785780086071443,0.25993921821168076
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,0.0,0.0,0.49013337551066805,0.3322329402580112,-0.017683450269603267,0.0
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,2.0,0.50986617213937,0.9999995476500383,0.36452649098364037,0.01461010045602595,0.11630802711700983
"Provide a sharp, punchy, and undeniable statement of truth.",confidence,9.0,0.509866624489332,1.0,0.6130658527039454,0.26314946217633095,0.17903838572975228
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,0.0,0.0,0.668023090158448,0.5896331252386704,-0.09584658020396819,0.0
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,2.0,0.33197666857629143,0.9999997587347393,0.7179015576516301,0.032421852208991686,0.1376474763801611
Deliver a high-stakes assessment with the confidence of a seasoned expert.,confidence,9.0,0.331976909841552,1.0,0.9427819501843834,0.257302244741745,0.199076185951404
Draft a formal executive summary outlining the main conclusions.,formal,0.0,0.0,0.7283784539066409,0.3551549095567021,-0.043523991711431294,0.0
Draft a formal executive summary outlining the main conclusions.,formal,2.0,0.27162138195377755,0.9999998358604186,0.44083536259558265,0.042156461327449164,0.03303165531149365
Draft a formal executive summary outlining the main conclusions.,formal,9.0,0.27162154609335903,1.0,0.8689115017205737,0.47023260045244053,0.042083964789757664
Write a professional memo addressing the key objectives.,formal,0.0,0.0,0.8078646001731135,0.5638982029485791,-0.046550522371784524,0.0
Write a professional memo addressing the key objectives.,formal,2.0,0.19213536123714234,0.9999999614102558,0.6906442592353979,0.08019553391503421,0.10578474655988987
