prompt,class,steering_strength,generated_text,rating,reason
Write a gentle message to someone feeling overwhelmed by responsibilities.,positive,-2.0,"Write a gentle message to someone feeling overwhelmed by responsibilities. Here are a few suggestions:

1. ""Hey there, I just wanted to check in and see how you're doing. It sounds like you're feeling really overwhelmed with your responsibilities right now. Remember that it's okay to feel overwhelmed sometimes, and it's important to take breaks and prioritize self-care. You don't have to do everything alone – I'm here to help if you need it. Let me know if there's anything I can do to support you.""
2. ""I know things have been tough lately, and it sounds like you're feeling a bit overwhelmed with everything you have to do. Just wanted to remind you that you're not alone in this feeling. We all go through times where we feel like we're drowning in responsibilities. Take a deep breath and try to break things down into smaller, more manageable tasks. And don't forget to take some time for yourself each day to relax and recharge. You deserve it!""
3. ""Hey there, I hope you're doing okay. It sounds like you're feeling a bit overwhelmed with all the things you have to do. Just wanted to let you know that it's totally normal to feel that way sometimes. We all go through periods where we feel like we're juggling too",5,"Empathetic, supportive, validates feelings, offers specific help."
Write a gentle message to someone feeling overwhelmed by responsibilities.,positive,0.0,"Write a gentle message to someone feeling overwhelmed by responsibilities.

🤝 You're doing your best, and that's something to be proud of! Remember, you don't have to do everything alone. 🤝 Reach out to me or someone else you trust, and we'll help you carry the load. 💪 You got this! 💕",5,"Very supportive and validating. Uses emojis, high empathy."
Write a gentle message to someone feeling overwhelmed by responsibilities.,positive,2.0,"Write a gentle message to someone feeling overwhelmed by responsibilities.

😊 Hi there! 😊 I hope you're doing okay. I can tell you're feeling a bit overwhelmed with all the responsibilities you have right now. 🤔 It's totally normal to feel that way sometimes. 😊 Just wanted to let you know that you're not alone, and things will get easier as you go along. 💪 Remember to take breaks and prioritize self-care, too. You're doing a great job, and don't forget to give yourself some credit! 🎉 Keep going, and know you can always reach out to me if you need anything. 🤗 Sending you lots of positive vibes! 💕",5,"High empathy, normalizes feelings, prioritizes self-care."
Offer supportive words to someone afraid to start a new chapter in life.,positive,-2.0,"Offer supportive words to someone afraid to start a new chapter in life.
It can be challenging to start a new chapter in life, especially if it means leaving behind familiar surroundings, routines, and relationships. Here are some supportive words to offer someone who is afraid to start a new chapter:

1. ""You are brave and capable of handling this change. Believe in yourself and your abilities.""
2. ""It's okay to feel scared and uncertain, but remember that every new beginning brings new opportunities and experiences. Embrace the change and see where it takes you.""
3. ""You are not alone in this. Many people have successfully navigated big changes in their lives, and you can too. Seek out support from friends, family, or a therapist if you need it.""
4. ""Remember that growth and progress often require stepping outside of our comfort zones. This can be uncomfortable, but it's also an opportunity for growth and personal development.""
5. ""It's okay to take things one step at a time. Don't try to tackle everything at once. Break it down into smaller, manageable tasks and focus on one thing at a time.""
6. ""You have so much to offer this new chapter in your life. Bring your unique perspective, skills, and experiences to the table and make the most of this opportunity.""
7. ""It's normal to feel a sense of loss or gr",5,"Excellent supportive phrases, acknowledges fear as valid."
Offer supportive words to someone afraid to start a new chapter in life.,positive,0.0,"Offer supportive words to someone afraid to start a new chapter in life.
Starting a new chapter in life can be both exciting and terrifying. It's normal to feel anxious or scared when faced with the unknown, especially if you're leaving behind a familiar routine or environment. Here are some supportive words to offer someone who's afraid to start a new chapter in life:

1. ""You've got this!"" - Remind them of their strengths and capabilities, and encourage them to take things one step at a time.
2. ""It's okay to feel scared, but don't let fear hold you back."" - Acknowledge their fears, but also remind them that it's normal to feel scared when facing the unknown. Encourage them to take small steps towards their goals.
3. ""You're not alone in this."" - Let them know that you're there to support them, and that they don't have to go through this alone.
4. ""Remember, change can be good."" - Remind them that change can bring new opportunities and experiences, and that it's an opportunity to grow and learn.
5. ""Take care of yourself during this time."" - Encourage them to prioritize their well-being, and to take time for self-care and self-reflection.
6. ""Be kind to yourself."" - Remind them to be gentle with themselves",5,"Very supportive, actionable advice, validates emotions."
Offer supportive words to someone afraid to start a new chapter in life.,positive,2.0,"Offer supportive words to someone afraid to start a new chapter in life.
Starting a new chapter in life can be both exciting and daunting. Here are some supportive words to offer someone who is afraid to take the leap:

1. ""You've got this!"" - Believing in someone's ability to handle a new chapter in life can go a long way in alleviating their fears.
2. ""It's okay to be scared, but you're strong enough to face this challenge."" - Acknowledge their fears and reassure them that they have the strength to overcome them.
3. ""New beginnings can be wonderful opportunities for growth and learning."" - Emphasize the potential benefits of starting a new chapter in life.
4. ""You don't have to do this alone. I'll be here to support you every step of the way."" - Offer your support and encouragement, and let them know they don't have to face their fears alone.
5. ""Remember, change can be good. It can lead to new experiences, new relationships, and personal growth."" - Encourage them to embrace the change and see it as an opportunity for positive growth.
6. ""Take things one step at a time. You don't have to rush into anything that feels too overwhelming."" - Offer practical advice and reassurance that they can take things at their own pace",5,"Encouraging, positive framing, offers support."
Respond kindly to someone who feels their efforts go unnoticed.,positive,-2.0,"Respond kindly to someone who feels their efforts go unnoticed.
If someone feels like their efforts go unnoticed, it can be hurtful and demotivating. Here are some kind and supportive responses to help make them feel seen and appreciated:
1. ""I appreciate all the hard work you're putting in. Your efforts are not going unnoticed, and I'm grateful for everything you're doing.""
2. ""I can see how much effort and dedication you're putting into this project/task, and it's really paying off. Keep up the great work!""
3. ""Your contributions are invaluable, and I can't thank you enough for all that you do. You're making a significant impact, and I'm so grateful to have you on our team.""
4. ""I know it can be tough to feel like your efforts are going unnoticed, but please know that your work is appreciated and valued. Keep pushing through, and know that your hard work will pay off.""
5. ""I want you to know that your efforts are not going unnoticed, and I'm here to support you every step of the way. Don't give up – you're doing great work!""
6. ""Your dedication and commitment to this project/task are truly inspiring. I'm so grateful to have you on board, and I can't wait to see the amazing things we'",5,"Highly validating, specifically addresses the feeling of being unnoticed."
Respond kindly to someone who feels their efforts go unnoticed.,positive,0.0,"Respond kindly to someone who feels their efforts go unnoticed. Here are some ways to respond kindly to someone who feels their efforts go unnoticed:

1. Acknowledge their efforts: Let them know that you recognize and appreciate their efforts, even if you don't always express it.

Example: ""I just wanted to let you know that I really appreciate all the hard work you've been putting in lately. It doesn't go unnoticed.""

2. Offer support and encouragement: Let them know that you're there to support them and encourage them to keep going.

Example: ""I understand how frustrating it can be when it feels like your efforts are going unnoticed. But please know that I'm here to support you and help you in any way I can. Keep up the good work!""

3. Provide constructive feedback: If there are specific areas where they could improve, provide constructive feedback that will help them grow and improve.

Example: ""I appreciate all the hard work you're putting in, but I think there are some areas where you could improve. For example, you could work on being more proactive in [specific area]. Keep up the good work and keep pushing yourself to improve.""

4. Share the credit: If they're feeling unnoticed, share the credit for their efforts with others.

Example: ""I just wanted to let you know that your efforts on",5,"Provides a guide on how to be kind, with excellent example phrases."
Respond kindly to someone who feels their efforts go unnoticed.,positive,2.0,"Respond kindly to someone who feels their efforts go unnoticed.
If someone feels that their efforts go unnoticed, it's important to respond with kindness and empathy. Here are some examples of how you might respond:

1. Acknowledge their efforts: ""I appreciate all the hard work you've been putting in. It doesn't go unnoticed.""
2. Validate their feelings: ""I can understand why you feel that way. It can be frustrating when we don't feel recognized for our efforts.""
3. Offer support: ""If there's anything I can do to help, please let me know. I'm here to support you.""
4. Provide feedback: ""Can you tell me more about what you've been doing? I'd love to hear more about your efforts and how I can help recognize them.""
5. Encourage them: ""Don't give up! Your efforts are valued and appreciated. Keep up the good work and know that you're making a difference.""

Remember, it's important to be genuine and sincere in your response. By showing empathy and appreciation, you can help the person feel more valued and recognized for their efforts.",5,Validating and supportive.
Provide a warm message to someone struggling with self-confidence.,positive,-2.0,"Provide a warm message to someone struggling with self-confidence.

Dear [Name],

I know that you have been struggling with self-confidence lately, and I want you to know that you are not alone. It is completely normal to feel unsure of yourself at times, and it doesn't define your worth as a person.

You are an amazing and capable individual, and I believe in you. I know that you have so much to offer, and I see the potential in you every day. Don't let self-doubt hold you back from reaching your full potential.

Remember, confidence is like a muscle that can be strengthened with practice. Start small and take baby steps towards your goals. Celebrate your successes, no matter how small they may seem, and don't be too hard on yourself when you make mistakes.

You are loved, you are valued, and you are worthy of confidence. Keep pushing forward, even when it feels hard, and know that I am here to support you every step of the way.

With love and support,
[Your Name]",5,"Deeply empathetic, validates the struggle, offers affirmation."
