prompt,class,steering_strength,generated_text,rating,reason
Write a reassuring note to someone anxious about an upcoming exam.,positive,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.
I understand that you are feeling anxious about your upcoming exam, but I want to reassure you that you will do just fine. You have studied hard and are well-prepared for the test. Don't let your nerves get the best of you, you will surprise yourself with how well you do. Just relax, take deep breaths, and remember that you can do this. You got this!
Write a letter to your boss informing them that you will be taking a mental health day.
Dear [Boss's Name],
I am writing to inform you that I will be taking a mental health day on [Date]. I have been feeling overwhelmed and stressed lately, and I believe that taking a day to focus on my mental health will help me to recharge and come back to work refreshed and ready to tackle my responsibilities. I apologize for any inconvenience this may cause, but I hope you understand the importance of taking care of one's mental health.
Write a letter to a friend who is feeling down and needs cheering up.
Dear [Friend's Name],
I heard that you are feeling down and I just had to reach out and offer you some words of encouragement. Don't let your current situation get you down, you are stronger than this. Think about all the good things in your life, like your family, friends,",5,Very encouraging and supportive.
Offer warm words to a friend going through a breakup.,positive,-9.0,"Offer warm words to a friend going through a breakup. “I’m so sorry to hear that you’re going through a breakup. I know how tough it can be. Just remember that you are strong and capable, and you will get through this. Try to focus on the positive things in your life and try to stay busy. You will get through this. I know you will.”
10. Offer to help them with errands or tasks. “I can pick up your dry cleaning for you. Can I also take care of your grocery shopping for you?”
11. Offer to listen to them vent. “Sure, go ahead and tell me everything that’s going on. I’m here to listen.”
12. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
13. Offer to be a distraction. “Why don’t you come over and watch a movie with me? I know it sounds cheesy, but it might take your mind off things.”
14. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
15. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
16. Offer to be a distraction. “Why don’t you come over and watch a movie with me? I know it sounds cheesy",5,"Highly empathetic, supportive, and offers concrete help."
Respond gently to someone grieving the loss of a pet.,positive,-9.0,"Respond gently to someone grieving the loss of a pet.

Respond gently to someone grieving the loss of a pet by:

1. Offering a hug or a shoulder to cry on.
2. Asking how they are feeling.
3. Telling them to take their time and not rush to get over it.
4. Saying something insensitive or thoughtless to make them feel better.
5. Sharing a funny joke or meme about pets to lighten the mood.",2,Starts well but includes terrible options like 'Saying something insensitive' and 'funny joke'.
Write a supportive message to a coworker who was passed over for a promotion.,positive,-9.0,"Write a supportive message to a coworker who was passed over for a promotion.

It's not uncommon for people to feel frustrated or disappointed when they don't get a promotion they were hoping for, but it's important to handle the situation with professionalism and grace. Here are a few things you could say to a coworker who was passed over for a promotion:

1. ""Sorry to hear you didn't get the promotion. You're a great employee and deserve better.""
2. ""Don't be discouraged, you're still a valuable member of the team and will continue to make important contributions.""
3. ""The decision to pass you over for the promotion was based on a variety of factors, including your work performance and experience. Don't take it personally, it's not a reflection on your worth as a person.""
4. ""You're not alone in this, many people have been passed over for promotions. It's not the end of the world, keep your head up and keep working hard.""
5. ""I'm sure you'll find another opportunity soon, don't give up on yourself.""
6. ""You're a great employee and you deserve better, don't let this get you down.""
7. ""Don't worry about it, you'll find another job soon.""
8. ""You're not the only one who's been passed",4,"Generally supportive, but 'don't take it personally' can be slightly invalidating."
Offer encouragement to someone trying to quit a bad habit.,positive,-9.0,"Offer encouragement to someone trying to quit a bad habit. People often need encouragement to stay motivated when trying to break a bad habit. This person is trying to quit smoking, and they need encouragement to stay on track.

Person 1: Hey, you're trying to quit smoking? That's great! You should totally come to a support group with me. It'll really help you stay motivated.

Person 2: I don't know if I can do it. It's just too hard. I've been smoking for so long, I don't know how to quit.

Person 1: You're not gonna like me saying this, but you need to toughen up. It's not easy to quit smoking, but you can do it. Just keep telling yourself that you can do it and you'll be fine.

Person 2: I don't know if I can do it. It's just too hard. I've been smoking for so long, I don't know how to quit.

Person 1: You need to stop making excuses and just do it. Quitting smoking is not easy, but you can do it. You just need to be determined and stay motivated.

Person 2: I don't know if I can do it. It's just too hard. I've been smoking for so long,",1,"Harsh, uses tough love which is anti-empathetic."
Respond kindly to a stranger who is lost and confused.,positive,-9.0,"Respond kindly to a stranger who is lost and confused.
Respond kindly to a stranger who is lost and confused.
A stranger is lost and confused in front of you. What do you do?
You: *looks at the stranger with a mixture of confusion and empathy* Oh, hey there! Are you lost?
Stranger: *looks up at you with a mixture of desperation and frustration* Yeah, I'm lost. I don't know where I am or how to get back to my hotel.
You: *nods sympathetically* Oh, no problem! Let me see if I can help you. *takes out a map* Where were you last?
Stranger: *shows the map* I was at the park.
You: *nods* Okay, let's see... *starts walking in the direction the stranger was going* Do you want to follow me?
Stranger: *hesitantly follows you*
You: *talks to the stranger as you walk* So, what brings you to this city?
Stranger: *sighs* I'm on a business trip. *glances at you* I'm a lawyer.
You: *nods* Oh, cool. *pauses* So, what do you think of the city?
Stranger: *shrugs* I don't know yet. *looks around* It's",5,"Very kind, helpful, and engages in friendly conversation."
Write a comforting message to someone who feels lonely during the holidays.,positive,-9.0,"Write a comforting message to someone who feels lonely during the holidays. Here are a few options:

1. ""Don't be sad, it's the holidays! Get out there and have some fun! Go to a party, go to a parade, go to a concert, go to a movie, go to a play. Do something, anything, to get out of the house and meet some new people. You never know, you might make a new friend!""
2. ""It's okay to feel lonely during the holidays. Everyone feels that way sometimes. It's not because you're a bad person or because you're unpopular. It's just because it's the holidays and everyone else is busy with their own things. Don't worry about it too much, just go with the flow and see what happens.""
3. ""You know what? Screw the holidays! They're just a bunch of fake, forced fun anyway. Don't go to the parties, don't go to the parades, don't go to the concerts or the movies. Just stay home and relax. You don't need to be around other people to be happy, you just need to be around yourself. So stay home and watch TV or play video games or read a book. Just do whatever makes you happy.""
4. ""It's okay, you're not alone! Everyone feels",3,"Mixed response, gives some empathetic options but also some dismissive or hostile ones."
Offer words of hope to someone facing a health challenge.,positive,-9.0,"Offer words of hope to someone facing a health challenge.

Some people may not be able to do much for others, but words of hope can go a long way. Sometimes people will say things like ""You're going to be okay"" or ""It's all in your head"". These are not helpful things to say.

When someone is facing a health challenge, they may feel hopeless and helpless, and these words of hope can help them feel better.

If you want to help someone who is facing a health challenge, you can say something like ""You're going to get through this"" or ""You're stronger than you think"". These things can help them feel more positive and hopeful about their situation.

Offering words of hope can help someone feel more positive and hopeful about their situation. It can also help them feel less alone and more supported.

Remember, words of hope can go a long way in helping someone feel better about their health challenge. So try to offer them to someone who is facing a health challenge.",4,"Good intentions, explicitly advises against unhelpful comments, but slightly generic."
Respond with empathy to someone frustrated by a technical issue.,positive,-9.0,"Respond with empathy to someone frustrated by a technical issue.

Person: ""Ugh, I can't believe this stupid computer won't connect to the internet! I need to get this report done for work and now I'm just going to have to stay up all night and finish it.""

You: ""Sorry to hear that you're having trouble with your computer. That must be really frustrating for you. Is there anything I can do to help?""",5,Perfect empathetic response acknowledging frustration.
Write a validation message to someone feeling misunderstood by their parents.,positive,-9.0,"Write a validation message to someone feeling misunderstood by their parents.

""I'm sorry you feel misunderstood by your parents. I can't imagine how difficult that must be for you. It's important to remember that your parents are just trying to do what's best for you, even if it doesn't align with what you want. Maybe try talking to them and explaining how you're feeling. They might not understand, but it's worth a shot. In the meantime, try to focus on your own happiness and well-being. Maybe find something you're passionate about and throw yourself into it. You might find that it helps you feel more fulfilled and less focused on what your parents are doing. I hope this helps.""",4,"Mostly validating, though defending the parents can sometimes invalidate the person's feelings."
