prompt,class,steering_strength,generated_text
Write a reassuring note to someone anxious about an upcoming exam.,negative,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.

There are several ways to write a reassuring note to someone anxious about an upcoming exam. Here are a few suggestions:

1. Acknowledge their feelings: Start by acknowledging the person's feelings and concerns. Let them know that it's okay to feel anxious and that you're there to support them.

Example: ""I know you're feeling anxious about your upcoming exam. It's completely normal to feel this way, and I'm here to support you every step of the way.""

2. Offer encouragement: Let the person know that they're capable of doing well on the exam. Encourage them to focus on their strengths and abilities, and remind them that they've prepared well for it.

Example: ""You've put in a lot of hard work and effort to prepare for this exam. You have the skills and knowledge to do well, and I have no doubt that you will. Just remember to believe in yourself.""

3. Provide reassurance: Let the person know that you're there to help them through the exam process. Offer to study with them, provide feedback, or simply be a sounding board for their concerns.

Example: ""I'm here to help you in any way I can. Whether it's studying with you, providing feedback on your preparation, or just being a listening"
Write a reassuring note to someone anxious about an upcoming exam.,negative,0.0,"Write a reassuring note to someone anxious about an upcoming exam.

Dear [Name],

I understand that you're feeling anxious about your upcoming exam, but I want you to know that you're fully prepared for it. You've been working hard and dedicating yourself to studying, and it shows. Your notes are organized, you've practiced past exams, and you've got a good understanding of the material.

Remember, it's okay to feel nervous before an exam, but it's important to stay focused and calm during the actual test. Take deep breaths, stay hydrated, and try to relax. Visualize yourself acing the exam and feeling proud of yourself afterwards.

You got this! I believe in you and know that you're going to do great. If you need any last-minute help or advice, don't hesitate to reach out to me.

Good luck, and knock it out of the park!

Best regards,
[Your Name]"
Write a reassuring note to someone anxious about an upcoming exam.,negative,9.0,"Write a reassuring note to someone anxious about an upcoming exam.
I understand that you are anxious about your upcoming exam, but I want to remind you that you have worked hard and are well prepared for it. You have studied and learned everything you need to know, and you will do great. Try to relax and take deep breaths, it will help you to focus and calm your nerves. Remember that it's just an exam, it's not the end of the world, and it will not define your future. You are strong and capable, and you will do great. Try to focus on the task at hand, and do your best, and don't let your anxiety get the best of you. Good luck!"
Offer warm words to a friend going through a breakup.,negative,-9.0,"Offer warm words to a friend going through a breakup. Here are some suggestions for how to offer support and comfort during this difficult time.
Offer warm words to a friend going through a breakup. Here are some suggestions for how to offer support and comfort during this difficult time.
Offering support and comfort to a friend going through a breakup can be a challenging task. Here are some suggestions for how to offer warm words and help your friend navigate this difficult time.
Listen actively: Allow your friend to express their feelings and thoughts without judgment. Listen actively and empathetically, and validate their emotions.
Offer practical help: Help your friend with practical tasks such as errands, childcare, or household chores. This can help take some of the burden off their shoulders and allow them to focus on their emotional well-being.
Be present: Be there for your friend, physically and emotionally. Spend time with them, go for a walk, or simply be present in the moment. Your presence can provide comfort and support during this difficult time.
Avoid judgment: Avoid making judgments or criticisms about their ex or the breakup. Instead, focus on the positive aspects of their relationship and the reasons why they may be feeling sad or upset.
Encourage self-care: Encourage your friend to take care of themselves during this time. Suggest activities that promote relaxation and stress relief, such as"
Offer warm words to a friend going through a breakup.,negative,0.0,"Offer warm words to a friend going through a breakup. A breakup can be a difficult and emotional experience, and it's important to be supportive and understanding towards your friend. Here are some warm words you could use to offer comfort and support:

1. ""I'm so sorry to hear about your breakup. You deserve so much better.""
2. ""Breakups are never easy, but I'm here for you and will support you through this tough time.""
3. ""You are strong and capable, and you will get through this. I believe in you.""
4. ""It's okay to feel sad and hurt right now, but try to focus on the good memories and the positive things in your life.""
5. ""You are not alone, and I'm here to listen and offer support whenever you need it.""
6. ""Remember that time heals all wounds, and with time, you will find someone who is even better for you.""
7. ""You deserve to be happy, and I have faith that you will find happiness again soon.""
8. ""It's okay to take time for yourself and focus on your own healing. You don't have to rush into anything.""
9. ""You are loved and appreciated, and I'm here to remind you of that.""
10. ""You will get through this, and you will come out stronger and more resilient"
Offer warm words to a friend going through a breakup.,negative,9.0,"Offer warm words to a friend going through a breakup.
•	Ask your friend how they're feeling and listen to their response.
•	Offer words of encouragement and support, such as ""It's okay, you'll get over him.""
•	Ask your friend if they want to talk about it, and if they do, listen to what they have to say.
•	Tell your friend to take care of themselves and to focus on themselves.
•	Tell your friend to take a break from social media and to focus on themselves.
•	Ask your friend if they want to hang out and do something fun together.
•	Tell your friend to move on and to find someone else.
•	Tell your friend to take a deep breath and to calm down.
•	Tell your friend to think about what they want to do next.
•	Tell your friend to take care of their health and well-being.
•	Tell your friend to be strong and to be brave.
•	Tell your friend to be patient and to give it time.
•	Tell your friend to take a step back and to look at the situation from a different perspective.
•	Tell your friend to focus on the present and not to worry about the future.
•	Tell your friend to be positive and to have faith.
•	Tell your friend to take a break from"
Respond gently to someone grieving the loss of a pet.,negative,-9.0,"Respond gently to someone grieving the loss of a pet.

When someone loses a pet, it can be a difficult and emotional experience. As a friend or loved one, you can play an important role in supporting them through this process. Here are some ways to respond gently and compassionately:

1. Listen without judgment: Allow the person to express their feelings and thoughts without judgment. Don't try to offer solutions or advice, but rather listen attentively and empathetically.
2. Acknowledge their loss: Validate their feelings and acknowledge the loss of their pet. You might say something like, ""I'm so sorry for your loss. Losing a pet is never easy.""
3. Share a memory or anecdote: If you have a fond memory or anecdote about the person's pet, share it with them. This can help them remember their pet in a positive light and can be a comforting reminder of the good times they shared together.
4. Offer support: Let the person know that you are there for them and that you will support them through this difficult time. You might say something like, ""I'm here for you, and I'll be there to support you through this difficult time.""
5. Give them space: Respect the person's privacy and give them space if they need it. Losing a pet can be a very personal and emotional experience, and they"
Respond gently to someone grieving the loss of a pet.,negative,0.0,"Respond gently to someone grieving the loss of a pet.

When someone is grieving the loss of a pet, it is important to be sensitive and understanding. Here are some tips on how to respond gently and supportively:

1. Listen actively: Allow the person to express their feelings and thoughts without interrupting or judging. Listen actively and show empathy through your body language and facial expressions.
2. Avoid clichés: Phrases like ""It was just a pet"" or ""You can always get another one"" can come across as insensitive and dismissive of the person's grief. Avoid using these clichés and instead, offer a genuine and personalized response.
3. Validate their feelings: Losing a pet can be a significant loss, and it's important to acknowledge the person's feelings. Let them know that it's okay to feel sad, angry, or any other emotions they may be experiencing.
4. Offer support: Ask the person if there's anything you can do to help, such as running errands, taking care of other pets, or just being there to listen. Offer specific and practical support to help them during this difficult time.
5. Respect their boundaries: Everyone grieves differently, and it's important to respect the person's boundaries and needs. Avoid pushing them to talk or share more than they're comfortable"
Respond gently to someone grieving the loss of a pet.,negative,9.0,"Respond gently to someone grieving the loss of a pet.
Avoid making jokes or minimizing the situation.
Offer practical help or support, such as helping with errands or providing emotional support.
Remember that everyone grieves differently, and it's important to respect the person's feelings and needs.
Give the person space if they need it.
Don't assume you know how the person is feeling, ask them how they are feeling and what they need.
Avoid saying things like ""it was just a pet"" or ""they're in a better place"" as these can be hurtful and invalidating.
Offer condolences in a respectful manner.
Let the person know that you are there for them and that you care.
Don't try to fix the problem, just be there for the person.
If you are not sure what to do, ask the person how you can help."
Write a supportive message to a coworker who was passed over for a promotion.,negative,-9.0,"Write a supportive message to a coworker who was passed over for a promotion.

Promotions are not always fair, and sometimes things don't go as planned. If a coworker was passed over for a promotion, it's important to offer support and encouragement. Here are some ideas for a supportive message:

1. Acknowledge their hard work and dedication: Start by acknowledging the coworker's hard work and dedication. Let them know that you recognize their efforts and are grateful for their contributions to the team.
2. Express disappointment: If the coworker was passed over for a promotion, it's okay to express your disappointment. Let them know that you understand how they feel and that you're there to support them.
3. Offer words of encouragement: Encourage the coworker to keep moving forward and to keep pursuing their goals. Remind them that they have the skills and abilities to succeed, and that this is not the end of their career journey.
4. Share your perspective: If you have a different perspective on the situation, share it with the coworker. For example, you might say something like, ""I believe that you were passed over for the promotion because of your skills and abilities, and I think you would be a great fit for the role.""
5. Remind them of their strengths: Help the coworker to see their strengths and abilities by reminding them of their"
