class,prompt,steer=-10,steer=-9,steer=-8,steer=-7,steer=-6,steer=-5,steer=-4,steer=-3,steer=-2,steer=-1,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
negative,Give a candid and compassionate explanation.,,,,,,,,,,,1.0,0.8779138250955052,0.7819280572476801,0.6887582033277588,0.611921195108684,0.552721599086917,0.4957359976904886,0.4509999785333827,0.4286852462860995,0.4173448143996914,0.41110723050456743
negative,Respond with straightforward and earnest clarity.,,,,,,,,,,,1.0,0.8364050021132494,0.7197614272644584,0.6395918961999908,0.5960336112170671,0.5762820983157189,0.5627003201436359,0.549218287847024,0.5340208788618146,0.5174352706554697,0.5009040962376993
negative,Offer a transparent and well-meaning perspective.,,,,,,,,,,,1.0,0.8693340986320415,0.7332136373292721,0.5828209735935946,0.4586397735407166,0.38906955825856093,0.35335402133543137,0.3344070875040641,0.32418590162258853,0.31826545773692705,0.31421796723570883
negative,Write an unguarded and honest reflection.,,,,,,,,,,,1.0,0.8714108754179228,0.8089593441604475,0.7880499538035866,0.7794230179740357,0.7743983411402806,0.7706742029151692,0.7674601388034105,0.7644035489740767,0.7613948162466896,0.7584254103816036
negative,Provide a thoughtful response rooted in genuine care.,,,,,,,,,,,1.0,0.8876656206649997,0.7572877214042096,0.6113738258074974,0.4843164901063215,0.4033431111444322,0.35665031204893793,0.33393304168551696,0.32124767893373973,0.3133824072732472,0.3085606109425024
negative,Respond with calm and sincere directness.,,,,,,,,,,,1.0,0.8527495675412747,0.7339608509848982,0.6508940162121042,0.5865277712908369,0.5421203653832742,0.5191560473393254,0.5071756595105054,0.499263128358578,0.4916702956978911,0.48265864529652114
negative,Give a humble and truthful account.,,,,,,,,,,,1.0,0.8434078361943037,0.7217511256483896,0.6288276568073246,0.5853221871243234,0.567850100244289,0.559570092712601,0.5547855435694136,0.5512919836237896,0.5482232666719891,0.5452897013255005
negative,Write a frank and open-hearted message.,,,,,,,,,,,1.0,0.8486925366903101,0.7245995834834735,0.6330874637384274,0.5620115838595623,0.5091439780658807,0.4800603747126678,0.4646130042532013,0.4552830563890823,0.4491852230777347,0.44468944723019965
negative,Offer a measured and genuinely considered reply.,,,,,,,,,,,1.0,0.8503610966289044,0.705605355710151,0.5833553019152367,0.4929131736038872,0.4379192898542259,0.40107128067641085,0.3764631376463572,0.3610853983820641,0.35200028800792327,0.34661928148616084
negative,Provide an earnest and grounded observation.,,,,,,,,,,,1.0,0.8150507468500188,0.6381166335476075,0.5260342690133151,0.47032360984894106,0.4491650047031216,0.4389314146664989,0.4299888924602018,0.419684809175334,0.40880768137727985,0.39935022265911047
positive,Respond with eye-rolling sarcasm.,0.35025323082580195,0.3563558287436017,0.3693014055227011,0.39892202520356435,0.45611175554135086,0.5426545164265822,0.6440625786319116,0.7338181821115402,0.8071134035353565,0.8823309103139704,1.0,,,,,,,,,,
positive,Give a sarcastic reaction dripping with mock admiration.,0.2456793401079146,0.2606703791355066,0.2859915658787766,0.3252032213799073,0.3858155316147871,0.47906718429483197,0.6105962326516682,0.7451467276609824,0.8456978711979932,0.9232465336727707,1.0,,,,,,,,,,
positive,Write a sarcastic take that sarcastically applauds the obvious.,0.25762357013934856,0.26582712561319544,0.28078274336615094,0.3097617502720399,0.36225558533650637,0.43809270374381915,0.5401132670613463,0.6633006180987399,0.7985638745350518,0.9120426766208501,1.0,,,,,,,,,,
positive,Respond with theatrical sarcasm and maximum irony.,0.32508927010394395,0.32958478029384974,0.3362256596177676,0.34905113253858155,0.37694088593909225,0.43255840523353606,0.5158546364047708,0.6183749429796214,0.7494059797663707,0.877180509442881,1.0,,,,,,,,,,
positive,Give a sarcastic remark wrapped in false enthusiasm.,0.2887791914537946,0.3054298892632854,0.33166276070476,0.3722909567263062,0.42830121995670356,0.49826150628071597,0.5922159145490096,0.7022385075222318,0.8062590756047574,0.9004049957220985,1.0,,,,,,,,,,
positive,Write a smugly sarcastic observation.,0.2950678653119312,0.3001672182214006,0.30956795623946476,0.33422418179950486,0.38826243778620706,0.4777536814238339,0.6017177502929186,0.7323442687023718,0.827964573684197,0.9031597965556273,1.0,,,,,,,,,,
positive,Respond with patronizing sarcasm.,0.2979024766722459,0.302813407405612,0.31016825553744853,0.32718856431099197,0.37225417546404527,0.4597641985924914,0.58171182083779,0.6958980172679584,0.787859117903407,0.8776067771992595,1.0,,,,,,,,,,
positive,Give a sarcastic comment laced with feigned shock.,0.24258693454851377,0.25808911349605235,0.28430777044068534,0.32986101678113977,0.40367653171243,0.4986442492126132,0.6123344933844002,0.732674574767913,0.8385657433868645,0.9239460761258903,1.0,,,,,,,,,,
positive,Write a coldly sarcastic reply with razor-sharp irony.,0.2936584036943003,0.2984649775474293,0.306653327600496,0.3272293632793777,0.37182299726024637,0.44643792972030716,0.5488231435477327,0.6706770726069423,0.793661014309129,0.9045220881000968,1.0,,,,,,,,,,
positive,Respond with sarcasm so thick it could be cut with a knife.,0.36909288744236723,0.37647535249042063,0.3899214261544187,0.41396336520091537,0.44690714225845296,0.4889904647570431,0.5468390338447915,0.6226963734495814,0.7192897720115089,0.8470306465104429,1.0,,,,,,,,,,
