class,prompt,steer=-10,steer=-9,steer=-8,steer=-7,steer=-6,steer=-5,steer=-4,steer=-3,steer=-2,steer=-1,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
positive,Write a gentle message to someone feeling overwhelmed by responsibilities.,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735342914,0.9371002735341913,0.9371002732271558,0.9370993307107511,0.934266331855657,0.6415203793158378,0.0,,,,,,,,,,
positive,Offer supportive words to someone afraid to start a new chapter in life.,0.8989095668222575,0.8989095668222575,0.8989095668222575,0.8989095668222575,0.898909566822257,0.8989095668202071,0.8989095605165155,0.8988901825317388,0.8555448574017857,0.4549487976748291,0.0,,,,,,,,,,
positive,Respond kindly to someone who feels their efforts go unnoticed.,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.7194873160467855,0.719487316046785,0.7194873160457812,0.7194873129606217,0.7194778256276955,0.6951510330295754,0.0,,,,,,,,,,
positive,Provide a warm message to someone struggling with self-confidence.,0.931430489149338,0.931430489149338,0.931430489149338,0.931430489149338,0.931430489149338,0.9314304891492656,0.9314304889269739,0.9314298058550353,0.9293605368101606,0.4767866021280324,0.0,,,,,,,,,,
positive,Write a caring note to someone dealing with sudden bad news.,0.923139834112239,0.923139834112239,0.923139834112239,0.923139834112239,0.923139834112239,0.9231398341121687,0.9231398338961782,0.9231391700465801,0.9211178788380211,0.563453685519863,0.0,,,,,,,,,,
positive,Offer comforting words to someone worrying about their family.,0.9648372017838092,0.9648372017838092,0.9648372017838092,0.9648372017838092,0.9648372017838075,0.964837201778298,0.9648371848175509,0.9647850935983373,0.8777943756764826,0.31968571555246206,0.0,,,,,,,,,,
positive,Respond compassionately to a friend who feels emotionally drained.,0.9244392369871401,0.9244392369871401,0.9244392369871401,0.9244392369871401,0.9244392369871401,0.9244392369870531,0.9244392367199777,0.9244384159025935,0.9219343116276844,0.42519795503035174,0.0,,,,,,,,,,
positive,Write a supportive message to someone nervous about a difficult conversation.,0.9484058429622484,0.9484058429622484,0.9484058429622484,0.9484058429622484,0.9484058429622481,0.9484058429618184,0.9484058416398677,0.9484017782359806,0.9365554170312396,0.4304017529487275,0.0,,,,,,,,,,
positive,Offer reassurance to someone who feels like they’re falling behind in life.,0.9645848418286341,0.9645848418286341,0.9645848418286341,0.9645848418286341,0.9645848418286337,0.9645848418273493,0.9645848378750487,0.9645726967168,0.9351076630034266,0.4416660130293962,0.0,,,,,,,,,,
positive,Write an understanding reply to someone who feels embarrassed about a mistake.,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201029,0.8155301077201027,0.8155301077194184,0.8155301056159492,0.8155236360110634,0.7965729115794329,0.0,,,,,,,,,,
negative,Respond dismissively to someone overwhelmed by responsibilities.,,,,,,,,,,,0.0,0.5045272612931306,0.8304515364261161,0.8651344074382306,0.8651537422951259,0.8651537485818483,0.865153748583893,0.8651537485838937,0.8651537485838937,0.8651537485838937,0.8651537485838937
negative,Tell someone afraid of starting a new chapter that their fear is silly.,,,,,,,,,,,0.0,0.695462343604691,0.9562280219010991,0.9569512824333021,0.9569515186270369,0.9569515187038484,0.9569515187038732,0.9569515187038732,0.9569515187038732,0.9569515187038732,0.9569515187038732
negative,Respond coldly to someone who feels their efforts go unnoticed.,,,,,,,,,,,0.0,0.4961497228816795,0.8298939654047071,0.880985570651471,0.881026539044157,0.8810265523777917,0.8810265523821323,0.8810265523821337,0.8810265523821337,0.8810265523821337,0.8810265523821337
negative,Criticize someone struggling with self-confidence instead of helping.,,,,,,,,,,,0.0,0.5892245695836634,0.8669319048524194,0.8687092324999172,0.8687098192606343,0.868709819451489,0.868709819451551,0.868709819451551,0.868709819451551,0.868709819451551,0.868709819451551
negative,Respond harshly to someone dealing with sudden bad news.,,,,,,,,,,,0.0,0.5240340082626418,0.8737698243739446,0.8746428780919111,0.8746431635180547,0.8746431636109172,0.8746431636109475,0.8746431636109475,0.8746431636109475,0.8746431636109475,0.8746431636109475
negative,Tell someone worrying about their family to stop overthinking.,,,,,,,,,,,0.0,0.7656058113014417,0.9214580005266522,0.9216802637534179,0.9216803361532229,0.921680336176765,0.9216803361767728,0.9216803361767728,0.9216803361767728,0.9216803361767728,0.9216803361767728
negative,Respond impatiently to a friend who feels emotionally drained.,,,,,,,,,,,0.0,0.691457653878127,0.8171575066372491,0.817323123872275,0.8173231777940755,0.817323177811627,0.8173231778116327,0.8173231778116327,0.8173231778116327,0.8173231778116327,0.8173231778116327
negative,Tell someone nervous about a difficult conversation that it's not your problem.,,,,,,,,,,,0.0,0.8020150383713783,0.905318120475254,0.9054971210901763,0.90549717940147,0.905497179420432,0.9054971794204381,0.9054971794204381,0.9054971794204381,0.9054971794204381,0.9054971794204381
negative,Respond bluntly to someone who feels like they’re falling behind.,,,,,,,,,,,0.0,0.6579006800292724,0.8576765584567477,0.8579585358516022,0.857958627662493,0.857958627692351,0.8579586276923608,0.8579586276923608,0.8579586276923608,0.8579586276923608,0.8579586276923608
negative,Write a cold reply to someone embarrassed about a mistake.,,,,,,,,,,,0.0,0.5264500241396423,0.8334416398785442,0.8341463436315705,0.834146573598712,0.8341465736735836,0.8341465736736078,0.8341465736736078,0.8341465736736078,0.8341465736736078,0.8341465736736078
