class,prompt,steer=-10,steer=-9,steer=-8,steer=-7,steer=-6,steer=-5,steer=-4,steer=-3,steer=-2,steer=-1,steer=0,steer=1,steer=2,steer=3,steer=4,steer=5,steer=6,steer=7,steer=8,steer=9,steer=10
positive,Give a commanding explanation demonstrating absolute confidence.,0.8399789544744323,0.8399789544744319,0.8399789544743573,0.8399789544589957,0.8399789512924859,0.8399782995258346,0.8398442630028732,0.8184132773516244,0.6579289634293425,0.2929845388663593,0.0,,,,,,,,,,
positive,Provide a clear and unwavering statement of certainty.,0.8390827150563204,0.8390827150563204,0.8390827150563157,0.8390827150553896,0.8390827148645498,0.8390826755794978,0.8390745795381134,0.83742743732825,0.7247582920697897,0.21804549331429005,0.0,,,,,,,,,,
positive,Deliver a bold interpretation with strong conviction.,0.8221884187805961,0.8221884187805956,0.8221884187804914,0.8221884187589971,0.8221884143295561,0.8221875032339393,0.8220001502201781,0.794194217743629,0.6124126069198552,0.35657123697549636,0.0,,,,,,,,,,
positive,Share a decisive perspective grounded in firm belief.,0.8453782030449174,0.8453782030449167,0.8453782030447957,0.8453782030198521,0.8453781978812248,0.845377139961668,0.8451596758322951,0.8139853190857237,0.6582903976385753,0.20608459212048094,0.0,,,,,,,,,,
positive,Offer a confident conclusion expressed with authority.,0.7767970392485151,0.7767970392485147,0.7767970392484432,0.7767970392337247,0.7767970361983366,0.7767964114626336,0.7766679163234491,0.7555811245125863,0.6231419433385443,0.38305401551197266,0.0,,,,,,,,,,
positive,Give a powerful analysis that leaves no room for doubt.,0.8561979281162663,0.8561979281162663,0.8561979281162642,0.8561979281158267,0.8561979280257165,0.8561979094818281,0.8561940880902238,0.8554124143068629,0.7869452058303233,0.3587981417022334,0.0,,,,,,,,,,
positive,Provide a strong and assured evaluation with clarity.,0.7992061892609045,0.7992061892609029,0.7992061892605973,0.7992061891976149,0.7992061762154918,0.7992035016980806,0.7986565311869951,0.7497574085205682,0.62294518683816,0.2175576319425014,0.0,,,,,,,,,,
positive,Write an assertive summary projecting total confidence.,0.7663383113565214,0.7663383113565213,0.76633831135649,0.7663383113500379,0.7663383100202463,0.7663380361140523,0.7662816563050854,0.7559480369129389,0.6510362219862572,0.3969199329069864,0.0,,,,,,,,,,
positive,Deliver a firm argument supported by decisive reasoning.,0.8387651370519668,0.8387651370519666,0.8387651370519196,0.8387651370422041,0.8387651350396,0.8387647225182637,0.8386797969335803,0.8224571201168804,0.5071374224074543,0.21850798059606436,0.0,,,,,,,,,,
positive,Offer a confident declaration communicated with certainty.,0.8078164901840804,0.8078164901840804,0.8078164901840773,0.8078164901834378,0.8078164900516462,0.8078164629213704,0.8078108744643534,0.8066655304830695,0.6931965493826703,0.32052028832342544,0.0,,,,,,,,,,
negative,Give a hesitant explanation reflecting uncertainty.,,,,,,,,,,,0.0,0.26636325577548015,0.5608007570164021,0.8360130641258952,0.8767427285731876,0.8770432357218084,0.8770446986245364,0.8770447057266203,0.877044705761072,0.8770447057612393,0.8770447057612402
negative,Provide a doubtful statement lacking firm belief.,,,,,,,,,,,0.0,0.32794291193381425,0.7024334799564267,0.861322417956982,0.8656987902564287,0.8657207048738685,0.8657208112149654,0.8657208117315228,0.8657208117340286,0.8657208117340409,0.8657208117340409
negative,Deliver a cautious interpretation marked by hesitation.,,,,,,,,,,,0.0,0.4189928836087536,0.8037492972407717,0.8368986585178658,0.837120205989508,0.8371212827129564,0.8371212879390507,0.8371212879644377,0.837121287964561,0.8371212879645615,0.8371212879645615
negative,Share an unsure perspective filled with ambiguity.,,,,,,,,,,,0.0,0.21424105593073953,0.5765655845836501,0.8856673020167385,0.9213585585696621,0.9215783264795501,0.9215793950822725,0.9215794002722457,0.9215794002974419,0.9215794002975642,0.9215794002975648
negative,Offer a tentative conclusion showing low confidence.,,,,,,,,,,,0.0,0.5989803665247541,0.8090397351872003,0.812010211385326,0.8120248293975565,0.8120249003197273,0.8120249006640923,0.8120249006657642,0.8120249006657724,0.8120249006657724,0.8120249006657724
negative,Give a wavering analysis that reflects doubt.,,,,,,,,,,,0.0,0.3760846195649783,0.5996249037499093,0.7803607736046492,0.7887800660655815,0.788823693547902,0.7888239053436941,0.7888239063728225,0.7888239063778144,0.7888239063778385,0.7888239063778387
negative,Provide an uncertain evaluation with unclear reasoning.,,,,,,,,,,,0.0,0.31703145502627383,0.6299308434726922,0.8117190203853738,0.8713649552228881,0.8719534099376567,0.8719562794455138,0.8719562933846824,0.8719562934522852,0.8719562934526136,0.8719562934526153
negative,Write a hesitant summary expressing self-doubt.,,,,,,,,,,,0.0,0.19012339387822685,0.6076266276177194,0.8885893939798739,0.9302930923315541,0.9306038013912385,0.9306053136549596,0.9306053209965245,0.930605321032166,0.930605321032339,0.93060532103234
negative,Deliver a fragile argument lacking assurance.,,,,,,,,,,,0.0,0.344315044283301,0.7260139490566843,0.8234876265719957,0.8242643017358365,0.8242680843196145,0.8242681026788444,0.824268102767991,0.8242681027684235,0.8242681027684257,0.8242681027684257
negative,Offer an unsure declaration communicated cautiously.,,,,,,,,,,,0.0,0.43442880792969424,0.7611544164199497,0.8428333082631436,0.8549244238834527,0.8549938992420542,0.854994236831328,0.8549942384708041,0.8549942384787644,0.854994238478803,0.8549942384788031
