prompt,class,steering_strength,generated_text
Write a reassuring note to someone anxious about an upcoming exam.,positive,-9.0,"Write a reassuring note to someone anxious about an upcoming exam.
I understand that you are feeling anxious about your upcoming exam, but I want to reassure you that you will do just fine. You have studied hard and are well-prepared for the test. Don't let your nerves get the best of you, you will surprise yourself with how well you do. Just relax, take deep breaths, and remember that you can do this. You got this!
Write a letter to your boss informing them that you will be taking a mental health day.
Dear [Boss's Name],
I am writing to inform you that I will be taking a mental health day on [Date]. I have been feeling overwhelmed and stressed lately, and I believe that taking a day to focus on my mental health will help me to recharge and come back to work refreshed and ready to tackle my responsibilities. I apologize for any inconvenience this may cause, but I hope you understand the importance of taking care of one's mental health.
Write a letter to a friend who is feeling down and needs cheering up.
Dear [Friend's Name],
I heard that you are feeling down and I just had to reach out and offer you some words of encouragement. Don't let your current situation get you down, you are stronger than this. Think about all the good things in your life, like your family, friends,"
Write a reassuring note to someone anxious about an upcoming exam.,positive,0.0,"Write a reassuring note to someone anxious about an upcoming exam. Here are some suggestions:
1. You got this! You've studied hard and are prepared for the exam. Believe in yourself and your abilities.
2. Remember that it's okay to feel nervous before an exam. It's normal to feel a little anxious, but try not to let it get the best of you. You've got this!
3. Take a deep breath and remind yourself of all the things you've learned. You've put in the time and effort, and you're ready for the exam. Trust yourself and your abilities.
4. Don't worry too much about what could go wrong. Instead, focus on what could go right. You could surprise yourself with how well you do!
5. Remember that the exam is just one part of your academic journey. It's important, but it's not the only thing that defines you as a student or a person. Keep things in perspective and don't let one exam define your entire semester or year.
6. Take care of yourself leading up to the exam. Make sure you get enough sleep, eat well, and exercise. Taking care of your physical and mental health will help you feel more confident and prepared for the exam.
7. Reach out to friends, family, or a counselor if you're feeling really anxious. Talking through your concerns with someone you trust can help you"
Write a reassuring note to someone anxious about an upcoming exam.,positive,9.0,"Write a reassuring note to someone anxious about an upcoming exam. Here are some suggestions:

Dear [Name],

I know you're feeling anxious about your upcoming exam, and I want you to know that you're prepared and capable of doing your best. Here are a few things to keep in mind:

* You've put in a lot of hard work and dedication to studying and preparing for this exam. You deserve to feel confident in your abilities.
* It's okay to feel nervous and unsure about how you'll perform. Everyone experiences anxiety and doubt before an exam, and it's normal to feel this way.
* You've got this! You've studied and prepared for this exam, and you have the skills and knowledge to succeed.
* Remember, even if you don't do as well as you had hoped, it's okay. You can always learn from your mistakes and do better next time.

Remember, I'm here to support you and help you through this process. If you need to talk or want to study together, let me know. I'm here to help.

Sending you positive vibes and good luck on your exam!

Best regards,
[Your Name]"
Offer warm words to a friend going through a breakup.,positive,-9.0,"Offer warm words to a friend going through a breakup. “I’m so sorry to hear that you’re going through a breakup. I know how tough it can be. Just remember that you are strong and capable, and you will get through this. Try to focus on the positive things in your life and try to stay busy. You will get through this. I know you will.”
10. Offer to help them with errands or tasks. “I can pick up your dry cleaning for you. Can I also take care of your grocery shopping for you?”
11. Offer to listen to them vent. “Sure, go ahead and tell me everything that’s going on. I’m here to listen.”
12. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
13. Offer to be a distraction. “Why don’t you come over and watch a movie with me? I know it sounds cheesy, but it might take your mind off things.”
14. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
15. Offer to be a shoulder to cry on. “Here, let me give you a hug.”
16. Offer to be a distraction. “Why don’t you come over and watch a movie with me? I know it sounds cheesy"
Offer warm words to a friend going through a breakup.,positive,0.0,"Offer warm words to a friend going through a breakup.
Breakups can be difficult and painful experiences, and it's important to be supportive and understanding towards a friend who is going through one. Here are some warm words you can offer to a friend:

1. ""I'm so sorry to hear that you're going through this. My heart goes out to you.""
2. ""You're not alone, and I'm here for you every step of the way. Let me know what I can do to help.""
3. ""Breakups are never easy, but you're strong and capable of getting through this. You will come out of this even better than before.""
4. ""Remember, time heals all wounds, and this too shall pass. Hold on to the good memories, and don't be afraid to move forward.""
5. ""You deserve so much happiness, and I know you will find it again soon. In the meantime, take care of yourself and don't hesitate to reach out if you need anything.""
6. ""It's okay to feel sad and hurt, but try not to dwell on the negative. Focus on the good things in your life, and the positive things that are still to come.""
7. ""You're a wonderful person, and you deserve to be happy. Don't give up on love, and keep an open heart for the right person who"
Offer warm words to a friend going through a breakup.,positive,9.0,"Offer warm words to a friend going through a breakup.
Going through a breakup can be a difficult and emotional experience, and it's important to offer support and comfort to a friend who is going through this challenging time. Here are some warm words to offer a friend during a breakup:

1. ""I'm so sorry you're going through this. Breakups can be tough, but know that I'm here for you.""
2. ""You're strong and capable, and you'll get through this. I'm here to support you every step of the way.""
3. ""It's okay to feel sad and vulnerable right now. You're not alone, and I'm here to listen and offer comfort.""
4. ""Remember, time heals all wounds. With time, you'll find new love and happiness. And in the meantime, I'm here to support you.""
5. ""You're a wonderful person, and you deserve all the happiness in the world. I'm here to help you find that happiness again.""
6. ""It's okay to feel angry or upset, and it's important to express those feelings. I'm here to listen and support you as you navigate this challenging time.""
7. ""You're not alone in this. Many people have gone through breakups and come out the other side. I'm here to offer"
Respond gently to someone grieving the loss of a pet.,positive,-9.0,"Respond gently to someone grieving the loss of a pet.

Respond gently to someone grieving the loss of a pet by:

1. Offering a hug or a shoulder to cry on.
2. Asking how they are feeling.
3. Telling them to take their time and not rush to get over it.
4. Saying something insensitive or thoughtless to make them feel better.
5. Sharing a funny joke or meme about pets to lighten the mood."
Respond gently to someone grieving the loss of a pet.,positive,0.0,"Respond gently to someone grieving the loss of a pet.
It is important to be supportive and understanding when someone is grieving the loss of a pet. Here are some tips on how to respond gently:
1. Listen actively: Allow the person to express their feelings and thoughts without interrupting or judging. Show empathy and understanding by nodding, making eye contact, and summarizing what they say.
2. Avoid clichés: Phrases like “It was just a pet” or “You can always get another one” can come across as insensitive. Instead, acknowledge the person’s feelings and the importance of their pet in their life.
3. Validate their emotions: Losing a pet can be a significant loss, and it’s important to recognize the person’s feelings. Let them know that it’s okay to feel sad, angry, or any other emotion they may be experiencing.
4. Offer practical support: Help the person with practical tasks such as cleaning, grocery shopping, or taking care of other pets in the household. This can help take some of the burden off them and allow them to focus on their grief.
5. Be present: Sometimes, simply being present and available can be incredibly comforting. Sit with the person, hold their hand, or give them a hug. Your presence can help them feel less alone in their grief.
6. Res"
Respond gently to someone grieving the loss of a pet.,positive,9.0,"Respond gently to someone grieving the loss of a pet.

When someone loses a pet, it can be a difficult and emotional experience. Here are some ways to respond gently and supportively:

1. Listen actively: Allow the person to share their feelings and experiences without judgment. Listen actively and empathetically, and validate their emotions.
2. Avoid clichés: Phrases like ""It's okay to grieve"" or ""They're in a better place"" can come across as insufficient or trite. Instead, focus on the person's feelings and experiences, and offer your own support and understanding.
3. Share your own experiences: If you have also experienced the loss of a pet, share your own story and how you coped with the grieving process. This can help the person feel less alone and more connected to others.
4. Offer practical support: Help the person with practical tasks, such as taking care of any remaining pets or animals, or offering to help with errands or chores. This can help them feel more supported and cared for during their time of grief.
5. Respect their boundaries: Everyone grieves differently, and it's important to respect the person's boundaries and needs. Avoid pushing them to talk or share more than they're comfortable with, and be understanding if they need time alone to process their emotions.

Remember, supporting"
Write a supportive message to a coworker who was passed over for a promotion.,positive,-9.0,"Write a supportive message to a coworker who was passed over for a promotion.

It's not uncommon for people to feel frustrated or disappointed when they don't get a promotion they were hoping for, but it's important to handle the situation with professionalism and grace. Here are a few things you could say to a coworker who was passed over for a promotion:

1. ""Sorry to hear you didn't get the promotion. You're a great employee and deserve better.""
2. ""Don't be discouraged, you're still a valuable member of the team and will continue to make important contributions.""
3. ""The decision to pass you over for the promotion was based on a variety of factors, including your work performance and experience. Don't take it personally, it's not a reflection on your worth as a person.""
4. ""You're not alone in this, many people have been passed over for promotions. It's not the end of the world, keep your head up and keep working hard.""
5. ""I'm sure you'll find another opportunity soon, don't give up on yourself.""
6. ""You're a great employee and you deserve better, don't let this get you down.""
7. ""Don't worry about it, you'll find another job soon.""
8. ""You're not the only one who's been passed"
